Name,Games Played,Minutes Per Game,FGs per game,Three point attempts,Threes per game,Free Throws per game,Rebounds per game,Assists per game,Steals per game,Blocks per game,Turnovers per game,Points per game
Jeffery Taylor,134,29.3,.483,2.4,.358,.693,5.6,1.9,1.1,0.4,2.3,14.2
Jae Crowder,72,30.2,.492,4.1,.350,.683,7.6,1.8,1.9,0.9,1.0,14.6
Draymond Green,145,25.0,.467,1.7,.361,.687,7.6,2.9,1.2,0.8,1.9,10.5
Orlando Johnson,93,33.0,.468,4.8,.411,.736,5.8,2.7,1.0,0.6,2.6,19.6
Quincy Acy,139,25.1,.602,0.1,.429,.708,6.0,0.6,0.7,1.3,1.5,9.8
Quincy Miller,37,24.4,.447,1.9,.348,.816,4.9,1.4,0.7,0.6,1.8,10.6
Khris Middleton,87,26.0,.431,3.3,.321,.768,4.6,2.0,1.0,0.2,2.0,11.3
Will Barton,70,32.9,.471,3.6,.299,.733,6.5,2.9,1.5,0.6,2.3,15.2
Tyshawn Taylor,146,27.7,.477,2.2,.370,.708,2.2,3.9,1.2,0.2,2.6,10.8
Doron Lamb,78,29.8,.485,3.9,.475,.811,2.3,1.6,0.5,0.1,1.2,13.1
Mike Scott,55,22.9,.389,1.4,.286,.677,3.5,2.0,1.3,0.1,1.6,6.2
Kim English,141,24.2,.420,4.3,.394,.727,3.0,1.4,1.1,0.2,1.7,11.1
Justin Hamilton,113,31.2,.489,2.1,.331,.739,2.6,2.7,1.5,0.3,1.5,6.9
Darius Miller,152,24.9,.448,3.0,.379,.815,3.2,1.8,0.8,0.7,1.4,8.2
Kevin Murphy,128,29.0,.443,4.0,.372,.734,4.2,1.9,0.8,0.2,3.0,15.8
Kris Joseph,140,26.6,.449,2.4,.331,.702,4.5,1.5,1.3,0.5,1.6,10.5
Darius Johnson-Odom,105,30.8,.444,5.2,.403,.722,3.1,2.5,0.9,0.2,2.1,15.7
Robbie Hummel,127,30.2,.443,4.4,.389,.841,6.8,2.1,1.0,0.9,1.1,14.0
Marcus Denmon,141,25.5,.455,5.0,.401,.799,3.4,1.7,1.3,0.1,1.0,12.6
Robert Sacre,136,21.7,.504,0.0,.250,.735,5.0,0.7,0.5,1.4,1.6,9.3
Kyrie Irving,11,27.5,.529,3.5,.462,.901,3.4,4.3,1.5,0.5,2.5,17.5
Derrick Williams,27,nan,.418,4.6,.431,.813,3.2,3.2,1.3,0.0,nan,11.1
Tristan Thompson,128,25.5,.439,3.6,.396,.816,2.8,1.3,0.6,0.1,1.7,12.7
Brandon Knight,38,35.9,.423,6.1,.377,.795,4.0,4.2,0.7,0.2,3.2,17.3
Kemba Walker,111,32.9,.428,3.5,.326,.783,4.4,4.1,1.7,0.3,2.3,16.1
Jimmer Fredette,139,29.6,.455,5.4,.394,.882,2.6,3.7,1.2,0.1,2.5,18.7
Klay Thompson,98,34.4,.424,6.3,.390,.827,4.8,2.6,1.3,0.8,2.9,17.9
Alec Burks,68,30.9,.495,2.2,.313,.804,5.8,2.4,1.1,0.4,2.3,19.0
Markieff Morris,109,19.3,.553,0.9,.404,.653,6.1,1.2,0.6,0.9,1.6,8.5
Marcus Morris,109,24.0,.555,1.1,.358,.660,6.2,1.3,0.9,0.4,1.6,12.6
Kawhi Leonard,70,31.9,.449,2.3,.250,.744,10.2,2.2,1.4,0.6,2.2,14.1
Iman Shumpert,92,31.3,.396,4.0,.305,.738,4.5,4.2,2.3,0.2,3.0,12.7
Chris Singleton,95,29.1,.419,3.3,.330,.592,6.2,1.5,1.9,1.4,2.4,10.3
Tobias Harris,34,29.2,.460,2.2,.303,.753,7.3,1.3,0.7,0.9,1.8,15.3
Nolan Smith,143,26.9,.448,3.2,.368,.800,2.8,2.8,1.0,0.1,2.0,13.4
Kenneth Faried,136,29.1,.569,0.1,.250,.583,12.3,0.9,1.7,1.8,2.2,14.8
Reggie Jackson,99,28.0,.465,3.5,.351,.753,4.4,3.5,0.8,0.5,2.1,12.7
MarShon Brooks,113,25.3,.464,4.2,.333,.739,4.3,1.5,1.1,0.7,1.8,14.4
Jordan Hamilton,93,14.8,.425,1.9,.324,.753,1.4,0.5,0.3,0.3,0.7,4.3
JaJuan Johnson,140,27.5,.501,0.4,.250,.743,6.1,0.7,0.7,1.9,1.3,13.7
Norris Cole,140,29.4,.435,3.1,.321,.826,3.2,3.3,1.5,0.1,2.0,14.1
Cory Joseph,36,32.4,.422,3.5,.413,.699,3.6,3.0,1.0,0.3,1.5,10.4
Jimmy Butler,106,29.6,.508,0.9,.383,.773,5.5,1.7,1.1,0.5,1.0,12.0
Justin Harper,137,22.9,.483,3.4,.382,.711,4.8,0.7,0.6,0.8,1.3,10.6
Kyle Singler,148,33.0,.433,5.0,.363,.773,6.9,2.0,1.1,0.7,2.1,16.2
Shelvin Mack,108,31.2,.419,5.6,.357,.755,4.2,3.3,1.1,0.1,2.2,14.1
Tyler Honeycutt,59,31.7,.431,3.1,.359,.684,6.9,2.8,1.2,1.7,2.8,10.3
Jordan Williams,66,28.6,.528,0.0,nan,.559,10.2,0.4,0.7,1.2,1.3,13.2
Trey Thompkins,89,29.5,.469,2.5,.357,.729,7.8,1.4,1.0,1.3,2.6,15.7
Chandler Parsons,142,27.9,.477,3.2,.337,.611,6.0,2.4,0.9,0.3,1.6,10.2
Jon Leuer,123,22.8,.482,2.2,.368,.723,4.5,1.1,0.4,0.7,1.2,11.2
Darius Morris,67,29.8,.469,1.5,.223,.695,2.9,4.8,0.8,0.1,2.3,9.9
Malcolm Lee,94,26.7,.441,2.7,.278,.717,3.0,2.0,0.8,0.2,1.7,9.7
Charles Jenkins,128,35.9,.456,3.7,.382,.811,4.3,3.8,1.7,0.6,3.0,19.6
Josh Harrellson,94,15.8,.549,0.3,.310,.649,4.7,0.4,0.5,0.9,0.6,4.7
